id,title,price,category,rating,created_at,updated_at
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,Books,3,2025-07-07 16:26:09.002348+00,2025-07-07 16:26:09.002348+00
28,Aladdin and His Wonderful Lamp,53.13,Books,3,2025-07-07 16:26:09.310538+00,2025-07-07 16:26:09.310538+00
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,Books,5,2025-07-07 16:26:09.604775+00,2025-07-07 16:26:09.604775+00
30,Wall and Piece,44.18,Books,4,2025-07-07 16:26:09.917298+00,2025-07-07 16:26:09.917298+00
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Books,5,2025-07-07 16:26:10.21384+00,2025-07-07 16:26:10.21384+00
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Books,3,2025-07-07 16:26:10.511855+00,2025-07-07 16:26:10.511855+00
33,The Elephant Tree,23.82,Books,5,2025-07-07 16:26:10.817093+00,2025-07-07 16:26:10.817093+00
34,The Bear and the Piano,36.89,Books,1,2025-07-07 16:26:11.148131+00,2025-07-07 16:26:11.148131+00
35,Sophie's World,15.94,Books,5,2025-07-07 16:26:11.502965+00,2025-07-07 16:26:11.502965+00
36,Penny Maybe,33.29,Books,3,2025-07-07 16:26:11.815209+00,2025-07-07 16:26:11.815209+00
37,Maude (1883-1993):She Grew Up with the country,18.02,Books,2,2025-07-07 16:26:12.114403+00,2025-07-07 16:26:12.114403+00
38,"In a Dark, Dark Wood",19.63,Books,1,2025-07-07 16:26:12.43101+00,2025-07-07 16:26:12.43101+00
39,Behind Closed Doors,52.22,Books,4,2025-07-07 16:26:12.720645+00,2025-07-07 16:26:12.720645+00
40,You can't bury them all: Poems,33.63,Books,2,2025-07-07 16:26:13.061188+00,2025-07-07 16:26:13.061188+00
41,Slow States of Collapse: Poems,57.31,Books,3,2025-07-07 16:26:13.342739+00,2025-07-07 16:26:13.342739+00
42,Reasons to Stay Alive,26.41,Books,2,2025-07-07 16:26:13.661319+00,2025-07-07 16:26:13.661319+00
43,Private Paris (Private #10),47.61,Books,5,2025-07-07 16:26:13.952333+00,2025-07-07 16:26:13.952333+00
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Books,5,2025-07-07 16:26:14.267381+00,2025-07-07 16:26:14.267381+00
45,Without Borders (Wanderlove #1),45.07,Books,2,2025-07-07 16:26:14.595582+00,2025-07-07 16:26:14.595582+00
46,When We Collided,31.77,Books,1,2025-07-07 16:26:14.909221+00,2025-07-07 16:26:14.909221+00
47,"We Love You, Charlie Freeman",50.27,Books,5,2025-07-07 16:26:15.204269+00,2025-07-07 16:26:15.204269+00
48,Untitled Collection: Sabbath Poems 2014,14.27,Books,4,2025-07-07 16:26:15.50761+00,2025-07-07 16:26:15.50761+00
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Books,4,2025-07-07 16:26:15.825184+00,2025-07-07 16:26:15.825184+00
50,Unicorn Tracks,18.78,Books,3,2025-07-07 16:26:16.13326+00,2025-07-07 16:26:16.13326+00
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,Books,1,2025-07-07 16:26:16.431776+00,2025-07-07 16:26:16.431776+00
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Books,1,2025-07-07 16:26:16.714742+00,2025-07-07 16:26:16.714742+00
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Books,3,2025-07-07 16:26:17.009983+00,2025-07-07 16:26:17.009983+00
54,This One Summer,19.49,Books,4,2025-07-07 16:26:17.315985+00,2025-07-07 16:26:17.315985+00
55,Thirst,17.27,Books,5,2025-07-07 16:26:17.635392+00,2025-07-07 16:26:17.635392+00
56,The Torch Is Passed: A Harding Family Story,19.09,Books,1,2025-07-07 16:26:17.931045+00,2025-07-07 16:26:17.931045+00
57,The Secret of Dreadwillow Carse,56.13,Books,1,2025-07-07 16:26:18.234052+00,2025-07-07 16:26:18.234052+00
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,Books,1,2025-07-07 16:26:18.549979+00,2025-07-07 16:26:18.549979+00
59,The Past Never Ends,56.50,Books,4,2025-07-07 16:26:18.84326+00,2025-07-07 16:26:18.84326+00
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,Books,3,2025-07-07 16:26:19.150513+00,2025-07-07 16:26:19.150513+00
61,The Nameless City (The Nameless City #1),38.16,Books,4,2025-07-07 16:26:19.447733+00,2025-07-07 16:26:19.447733+00
62,The Murder That Never Was (Forensic Instincts #5),54.11,Books,3,2025-07-07 16:26:19.775546+00,2025-07-07 16:26:19.775546+00
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Books,4,2025-07-07 16:26:20.074032+00,2025-07-07 16:26:20.074032+00
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Books,4,2025-07-07 16:26:20.361048+00,2025-07-07 16:26:20.361048+00
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Books,3,2025-07-07 16:26:20.654475+00,2025-07-07 16:26:20.654475+00
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Books,5,2025-07-07 16:26:20.970981+00,2025-07-07 16:26:20.970981+00
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,Books,1,2025-07-07 16:26:21.264839+00,2025-07-07 16:26:21.264839+00
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,Books,1,2025-07-07 16:26:21.559606+00,2025-07-07 16:26:21.559606+00
69,The Death of Humanity: and the Case for Life,58.11,Books,4,2025-07-07 16:26:21.860797+00,2025-07-07 16:26:21.860797+00
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Books,3,2025-07-07 16:26:22.157473+00,2025-07-07 16:26:22.157473+00
71,The Art Forger,40.76,Books,3,2025-07-07 16:26:22.452632+00,2025-07-07 16:26:22.452632+00
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,Books,1,2025-07-07 16:26:22.74358+00,2025-07-07 16:26:22.74358+00
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Books,5,2025-07-07 16:26:23.047253+00,2025-07-07 16:26:23.047253+00
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Books,4,2025-07-07 16:26:23.353912+00,2025-07-07 16:26:23.353912+00
75,Soul Reader,39.58,Books,2,2025-07-07 16:26:23.649297+00,2025-07-07 16:26:23.649297+00
76,Security,39.25,Books,2,2025-07-07 16:26:23.943135+00,2025-07-07 16:26:23.943135+00
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Books,3,2025-07-07 16:26:24.257649+00,2025-07-07 16:26:24.257649+00
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Books,2,2025-07-07 16:26:24.554574+00,2025-07-07 16:26:24.554574+00
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Books,2,2025-07-07 16:26:24.862832+00,2025-07-07 16:26:24.862832+00
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,Books,3,2025-07-07 16:26:25.176969+00,2025-07-07 16:26:25.176969+00
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Books,5,2025-07-07 16:26:25.48016+00,2025-07-07 16:26:25.48016+00
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,Books,5,2025-07-07 16:26:25.788692+00,2025-07-07 16:26:25.788692+00
83,"Pop Gun War, Volume 1: Gift",18.97,Books,1,2025-07-07 16:26:26.109426+00,2025-07-07 16:26:26.109426+00
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Books,2,2025-07-07 16:26:26.420776+00,2025-07-07 16:26:26.420776+00
85,Patience,10.16,Books,3,2025-07-07 16:26:26.737346+00,2025-07-07 16:26:26.737346+00
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Books,4,2025-07-07 16:26:27.022133+00,2025-07-07 16:26:27.022133+00
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,Books,1,2025-07-07 16:26:27.344418+00,2025-07-07 16:26:27.344418+00
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,Books,1,2025-07-07 16:26:27.6511+00,2025-07-07 16:26:27.6511+00
89,On a Midnight Clear,14.07,Books,3,2025-07-07 16:26:27.968859+00,2025-07-07 16:26:27.968859+00
90,Obsidian (Lux #1),14.86,Books,2,2025-07-07 16:26:28.295158+00,2025-07-07 16:26:28.295158+00
91,My Paris Kitchen: Recipes and Stories,33.37,Books,2,2025-07-07 16:26:28.576204+00,2025-07-07 16:26:28.576204+00
92,Masks and Shadows,56.40,Books,2,2025-07-07 16:26:28.878806+00,2025-07-07 16:26:28.878806+00
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Books,4,2025-07-07 16:26:29.174441+00,2025-07-07 16:26:29.174441+00
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Books,2,2025-07-07 16:26:29.482608+00,2025-07-07 16:26:29.482608+00
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Books,3,2025-07-07 16:26:29.77623+00,2025-07-07 16:26:29.77623+00
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Books,2,2025-07-07 16:26:30.0763+00,2025-07-07 16:26:30.0763+00
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,Books,1,2025-07-07 16:26:30.37527+00,2025-07-07 16:26:30.37527+00
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,Books,2,2025-07-07 16:26:30.677083+00,2025-07-07 16:26:30.677083+00
99,Join,35.67,Books,5,2025-07-07 16:26:30.974115+00,2025-07-07 16:26:30.974115+00
100,In the Country We Love: My Family Divided,22.00,Books,4,2025-07-07 16:26:31.269308+00,2025-07-07 16:26:31.269308+00
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Books,5,2025-07-07 16:26:31.565414+00,2025-07-07 16:26:31.565414+00
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Books,2,2025-07-07 16:26:31.86095+00,2025-07-07 16:26:31.86095+00
103,I am a Hero Omnibus Volume 1,54.63,Books,3,2025-07-07 16:26:32.17696+00,2025-07-07 16:26:32.17696+00
104,How to Be Miserable: 40 Strategies You Already Use,46.03,Books,1,2025-07-07 16:26:32.493212+00,2025-07-07 16:26:32.493212+00
105,Her Backup Boyfriend (The Sorensen Family #1),33.97,Books,1,2025-07-07 16:26:32.81728+00,2025-07-07 16:26:32.81728+00
106,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Books,2,2025-07-07 16:26:33.115234+00,2025-07-07 16:26:33.115234+00
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Books,3,2025-07-07 16:26:33.42758+00,2025-07-07 16:26:33.42758+00
108,First and First (Five Boroughs #3),15.97,Books,4,2025-07-07 16:26:33.743471+00,2025-07-07 16:26:33.743471+00
109,Fifty Shades Darker (Fifty Shades #2),21.96,Books,1,2025-07-07 16:26:34.046096+00,2025-07-07 16:26:34.046096+00
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Books,2,2025-07-07 16:26:34.329053+00,2025-07-07 16:26:34.329053+00
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Books,2,2025-07-07 16:26:34.622508+00,2025-07-07 16:26:34.622508+00
112,Danganronpa Volume 1,51.99,Books,4,2025-07-07 16:26:34.913862+00,2025-07-07 16:26:34.913862+00
113,Crown of Midnight (Throne of Glass #2),43.29,Books,3,2025-07-07 16:26:35.241026+00,2025-07-07 16:26:35.241026+00
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Books,4,2025-07-07 16:26:35.553673+00,2025-07-07 16:26:35.553673+00
115,Camp Midnight,17.08,Books,4,2025-07-07 16:26:35.848388+00,2025-07-07 16:26:35.848388+00
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Books,5,2025-07-07 16:26:36.168195+00,2025-07-07 16:26:36.168195+00
117,Burning,28.81,Books,3,2025-07-07 16:26:36.474083+00,2025-07-07 16:26:36.474083+00
118,Bossypants,49.46,Books,2,2025-07-07 16:26:36.765265+00,2025-07-07 16:26:36.765265+00
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Books,2,2025-07-07 16:26:37.070082+00,2025-07-07 16:26:37.070082+00
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Books,2,2025-07-07 16:26:37.370239+00,2025-07-07 16:26:37.370239+00
121,Algorithms to Live By: The Computer Science of Human Decisions,30.81,Books,1,2025-07-07 16:26:37.671397+00,2025-07-07 16:26:37.671397+00
122,A World of Flavor: Your Gluten Free Passport,42.95,Books,1,2025-07-07 16:26:37.96284+00,2025-07-07 16:26:37.96284+00
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Books,5,2025-07-07 16:26:38.273278+00,2025-07-07 16:26:38.273278+00
124,A Murder in Time,16.64,Books,1,2025-07-07 16:26:38.591105+00,2025-07-07 16:26:38.591105+00
125,A Flight of Arrows (The Pathfinders #2),55.53,Books,5,2025-07-07 16:26:38.900178+00,2025-07-07 16:26:38.900178+00
126,A Fierce and Subtle Poison,28.13,Books,4,2025-07-07 16:26:39.198299+00,2025-07-07 16:26:39.198299+00
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,Books,1,2025-07-07 16:26:39.494495+00,2025-07-07 16:26:39.494495+00
128,(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,Books,5,2025-07-07 16:26:39.795458+00,2025-07-07 16:26:39.795458+00
129,You Are What You Love: The Spiritual Power of Habit,21.87,Books,4,2025-07-07 16:26:40.094908+00,2025-07-07 16:26:40.094908+00
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,Books,4,2025-07-07 16:26:40.397613+00,2025-07-07 16:26:40.397613+00
131,Tuesday Nights in 1980,21.04,Books,2,2025-07-07 16:26:40.707056+00,2025-07-07 16:26:40.707056+00
132,Tracing Numbers on a Train,41.60,Books,3,2025-07-07 16:26:41.022977+00,2025-07-07 16:26:41.022977+00
133,Throne of Glass (Throne of Glass #1),35.07,Books,3,2025-07-07 16:26:41.320387+00,2025-07-07 16:26:41.320387+00
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,Books,1,2025-07-07 16:26:41.649118+00,2025-07-07 16:26:41.649118+00
135,Thirteen Reasons Why,52.72,Books,1,2025-07-07 16:26:41.964027+00,2025-07-07 16:26:41.964027+00
136,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Books,4,2025-07-07 16:26:42.309336+00,2025-07-07 16:26:42.309336+00
137,The Wedding Dress,24.12,Books,1,2025-07-07 16:26:42.621518+00,2025-07-07 16:26:42.621518+00
138,The Vacationers,42.15,Books,4,2025-07-07 16:26:42.907105+00,2025-07-07 16:26:42.907105+00
139,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Books,5,2025-07-07 16:26:43.202836+00,2025-07-07 16:26:43.202836+00
140,The Stranger,17.44,Books,4,2025-07-07 16:26:43.500305+00,2025-07-07 16:26:43.500305+00
141,The Shadow Hero (The Shadow Hero),33.14,Books,1,2025-07-07 16:26:43.814245+00,2025-07-07 16:26:43.814245+00
142,The Secret (The Secret #1),27.37,Books,4,2025-07-07 16:26:44.114957+00,2025-07-07 16:26:44.114957+00
143,The Regional Office Is Under Attack!,51.36,Books,5,2025-07-07 16:26:44.417065+00,2025-07-07 16:26:44.417065+00
144,The Psychopath Test: A Journey Through the Madness Industry,36.00,Books,2,2025-07-07 16:26:44.712019+00,2025-07-07 16:26:44.712019+00
145,The Project,10.65,Books,1,2025-07-07 16:26:45.008974+00,2025-07-07 16:26:45.008974+00
146,The Power of Now: A Guide to Spiritual Enlightenment,43.54,Books,2,2025-07-07 16:26:45.316088+00,2025-07-07 16:26:45.316088+00
147,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Books,2,2025-07-07 16:26:45.606823+00,2025-07-07 16:26:45.606823+00
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Books,5,2025-07-07 16:26:45.929622+00,2025-07-07 16:26:45.929622+00
149,The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,Books,4,2025-07-07 16:26:46.239519+00,2025-07-07 16:26:46.239519+00
150,The Mistake (Off-Campus #2),43.29,Books,3,2025-07-07 16:26:46.531072+00,2025-07-07 16:26:46.531072+00
151,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,Books,1,2025-07-07 16:26:46.837163+00,2025-07-07 16:26:46.837163+00
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,Books,2,2025-07-07 16:26:47.139973+00,2025-07-07 16:26:47.139973+00
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,Books,1,2025-07-07 16:26:47.435274+00,2025-07-07 16:26:47.435274+00
154,The Kite Runner,41.82,Books,4,2025-07-07 16:26:47.732776+00,2025-07-07 16:26:47.732776+00
155,The House by the Lake,36.95,Books,1,2025-07-07 16:26:48.019389+00,2025-07-07 16:26:48.019389+00
156,The Glittering Court (The Glittering Court #1),44.28,Books,1,2025-07-07 16:26:48.330458+00,2025-07-07 16:26:48.330458+00
157,The Girl on the Train,55.02,Books,2,2025-07-07 16:26:48.62034+00,2025-07-07 16:26:48.62034+00
158,The Genius of Birds,17.24,Books,1,2025-07-07 16:26:48.913713+00,2025-07-07 16:26:48.913713+00
159,The Emerald Mystery,23.15,Books,2,2025-07-07 16:26:49.205865+00,2025-07-07 16:26:49.205865+00
160,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,Books,1,2025-07-07 16:26:49.513998+00,2025-07-07 16:26:49.513998+00
161,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,Books,3,2025-07-07 16:26:49.850915+00,2025-07-07 16:26:49.850915+00
162,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Books,5,2025-07-07 16:26:50.148073+00,2025-07-07 16:26:50.148073+00
163,The Art of War,33.34,Books,5,2025-07-07 16:26:50.455284+00,2025-07-07 16:26:50.455284+00
164,The Argonauts,10.93,Books,2,2025-07-07 16:26:50.757251+00,2025-07-07 16:26:50.757251+00
165,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Books,3,2025-07-07 16:26:51.05986+00,2025-07-07 16:26:51.05986+00
166,Suddenly in Love (Lake Haven #1),55.99,Books,2,2025-07-07 16:26:51.374193+00,2025-07-07 16:26:51.374193+00
167,Something More Than This,16.24,Books,4,2025-07-07 16:26:51.665464+00,2025-07-07 16:26:51.665464+00
168,Soft Apocalypse,26.12,Books,2,2025-07-07 16:26:51.957236+00,2025-07-07 16:26:51.957236+00
169,So You've Been Publicly Shamed,12.23,Books,2,2025-07-07 16:26:52.257342+00,2025-07-07 16:26:52.257342+00
170,Shoe Dog: A Memoir by the Creator of NIKE,23.99,Books,2,2025-07-07 16:26:52.587528+00,2025-07-07 16:26:52.587528+00
171,"Shobu Samurai, Project Aryoku (#3)",29.06,Books,3,2025-07-07 16:26:52.894488+00,2025-07-07 16:26:52.894488+00
172,Secrets and Lace (Fatal Hearts #1),20.27,Books,1,2025-07-07 16:26:53.202098+00,2025-07-07 16:26:53.202098+00
173,Scarlett Epstein Hates It Here,43.55,Books,5,2025-07-07 16:26:53.522011+00,2025-07-07 16:26:53.522011+00
174,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,Books,1,2025-07-07 16:26:53.816175+00,2025-07-07 16:26:53.816175+00
175,Redeeming Love,20.47,Books,5,2025-07-07 16:26:54.102748+00,2025-07-07 16:26:54.102748+00
176,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,Books,1,2025-07-07 16:26:54.405758+00,2025-07-07 16:26:54.405758+00
177,Poems That Make Grown Women Cry,14.19,Books,4,2025-07-07 16:26:54.709152+00,2025-07-07 16:26:54.709152+00
178,"Nightingale, Sing",38.28,Books,1,2025-07-07 16:26:55.016731+00,2025-07-07 16:26:55.016731+00
179,Night Sky with Exit Wounds,41.05,Books,1,2025-07-07 16:26:55.312305+00,2025-07-07 16:26:55.312305+00
180,Mrs. Houdini,30.25,Books,5,2025-07-07 16:26:55.70315+00,2025-07-07 16:26:55.70315+00
181,Modern Romance,28.26,Books,5,2025-07-07 16:26:56.008395+00,2025-07-07 16:26:56.008395+00
182,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,Books,1,2025-07-07 16:26:56.304998+00,2025-07-07 16:26:56.304998+00
183,Louisa: The Extraordinary Life of Mrs. Adams,16.85,Books,2,2025-07-07 16:26:56.620644+00,2025-07-07 16:26:56.620644+00
184,Little Red,13.47,Books,3,2025-07-07 16:26:56.926273+00,2025-07-07 16:26:56.926273+00
185,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Books,5,2025-07-07 16:26:57.225262+00,2025-07-07 16:26:57.225262+00
186,Large Print Heart of the Pride,19.15,Books,2,2025-07-07 16:26:57.520574+00,2025-07-07 16:26:57.520574+00
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Books,4,2025-07-07 16:26:57.834143+00,2025-07-07 16:26:57.834143+00
188,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,Books,1,2025-07-07 16:26:58.148336+00,2025-07-07 16:26:58.148336+00
189,Grumbles,22.16,Books,2,2025-07-07 16:26:58.452555+00,2025-07-07 16:26:58.452555+00
190,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Books,4,2025-07-07 16:26:58.747716+00,2025-07-07 16:26:58.747716+00
191,Frostbite (Vampire Academy #2),29.99,Books,5,2025-07-07 16:26:59.043931+00,2025-07-07 16:26:59.043931+00
192,Follow You Home,21.36,Books,1,2025-07-07 16:26:59.336417+00,2025-07-07 16:26:59.336417+00
193,First Steps for New Christians (Print Edition),29.00,Books,1,2025-07-07 16:26:59.623628+00,2025-07-07 16:26:59.623628+00
194,Finders Keepers (Bill Hodges Trilogy #2),53.53,Books,5,2025-07-07 16:26:59.918192+00,2025-07-07 16:26:59.918192+00
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Books,4,2025-07-07 16:27:00.220532+00,2025-07-07 16:27:00.220532+00
196,Eureka Trivia 6.0,54.59,Books,4,2025-07-07 16:27:00.514513+00,2025-07-07 16:27:00.514513+00
197,Drive: The Surprising Truth About What Motivates Us,34.95,Books,4,2025-07-07 16:27:00.815805+00,2025-07-07 16:27:00.815805+00
198,Done Rubbed Out (Reightman & Bailey #1),37.72,Books,5,2025-07-07 16:27:01.112229+00,2025-07-07 16:27:01.112229+00
199,Doing It Over (Most Likely To #1),35.61,Books,3,2025-07-07 16:27:01.448873+00,2025-07-07 16:27:01.448873+00
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Books,3,2025-07-07 16:27:01.736696+00,2025-07-07 16:27:01.736696+00
201,Dark Notes,19.19,Books,5,2025-07-07 16:27:02.061435+00,2025-07-07 16:27:02.061435+00
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Books,3,2025-07-07 16:27:02.381553+00,2025-07-07 16:27:02.381553+00
